symbol,name,industry,sector,market_cap,exchange
YAMNINV,Yamini Investments Company Limited,Unknown,Unknown,1135568256,BSE
PREMCAP,Unknown,Unknown,Unknown,0,BSE
ZMILGFIN,Milgrey Finance and Investments Limited,Unknown,Unknown,0,BSE
JINDRILL,Jindal Drilling & Industries Limited,Oil & Gas Equipment & Services,Energy,17707452416,BSE
KUSUMEL,Unknown,Unknown,Unknown,0,BSE
JUMBFNL,Unknown,Unknown,Unknown,0,BSE
SAKTHIFIN,Sakthi Finance Limited,Unknown,Unknown,5177119232,BSE
EASYFIN,Unknown,Unknown,Unknown,0,BSE
SATINDLTD,Sat Industries Limited,Steel,Basic Materials,15040305152,BSE
JMDVL,JMD Ventures Limited,Unknown,Unknown,0,BSE
TVOLCON,Unknown,Unknown,Unknown,0,BSE
SHIVATEX,Shiva Texyarn Limited,Textile Manufacturing,Consumer Cyclical,2462913024,BSE
VBDESAI,V. B. Desai Financial Services Limited,Unknown,Unknown,89154160,BSE
QUADRANT,Quadrant Televentures Limited,Unknown,Unknown,1157171328,BSE
1STCUS,The First Custodian Fund (I) Ltd.,Unknown,Unknown,175350000,BSE
KAMANWALA,Kamanwala Housing Construction Limited,Unknown,Unknown,234228992,BSE
WSFX,Unknown,Unknown,Unknown,0,BSE
ANJANIFOODS,Anjani Foods Limited,Unknown,Unknown,205759808,BSE
RKDAGRRTL,Unknown,Unknown,Unknown,0,BSE
